partidaInmobiliaria,descripcion,costoInicial
MZA1-1,superficie: 667.55mt2- 31.47 x 42.43 x 52.82mts,10000000
MZA1-2,superficie: 667.55mt2- 21.88 x 44.50 x 17.57 x 31.47mts,8000000
MZA1-3,superficie: 751.00mt2- 18.68 x 55.63 x 15 x 44.50mts,13300000
MZA1-4,superficie: 675.00mt2- 15 x 45mts,8000000
MZA1-5,superficie: 675.00mt2- 15 x 45mts,8000000
MZA1-6,superficie: 662.54mt2- 37.35 x 33.88 x 10.63mts,11500000
MZA2-1,superficie: 675.00mt2- 15 x 45mts,10000000
MZA2-2,superficie: 675.00mt2- 15 x 45mts,8000000
MZA2-3,superficie: 675.00mt2- 15 x 45mts,8000000
MZA2-4,superficie: 675.00mt2- 15 x 45mts,8000000
MZA2-5,superficie: 675.00mt2- 15 x 45mts,8000000
MZA2-6,superficie: 675.00mt2- 15 x 45mts,8000000
MZA2-7,superficie: 675.00mt2- 15 x 45mts,10000000
MZA2-8,superficie: 787.50mt2- 15 x 45mts,9000000
MZA2-9,superficie: 675.00mt2- 15 x 45mts,10000000
MZA2-10,superficie: 675.00mt2- 15 x 45mts,8000000
MZA2-11,superficie: 675.00mt2- 15 x 45mts,8000000
MZA2-12,superficie: 675.00mt2- 15 x 45mts,8000000
MZA2-13,superficie: 675.00mt2- 15 x 45mts,8000000
MZA2-14,superficie: 675.00mt2- 15 x 45mts,8000000
MZA2-15,superficie: 675.00mt2- 15 x 45mts,10000000
MZA2-16,superficie: 787.50mt2- 15 x 45mts,9000000
MZA3-1,superficie: 675.00mt2- 15 x 45mts,10000000
MZA3-2,superficie: 675.00mt2- 15 x 45mts,8000000
MZA3-3,superficie: 675.00mt2- 15 x 45mts,8000000
MZA3-4,superficie: 675.00mt2- 15 x 45mts,8000000
MZA3-5,superficie: 675.00mt2- 15 x 45mts,8000000
MZA3-6,superficie: 675.00mt2- 15 x 45mts,8000000
MZA3-7,superficie: 675.00mt2- 15 x 45mts,10000000
MZA3-8,superficie: 787.50mt2- 15 x 45mts,9000000
MZA3-9,superficie: 675.00mt2- 15 x 45mts,10000000
MZA3-10,superficie: 675.00mt2- 15 x 45mts,8000000
MZA3-11,superficie: 675.00mt2- 15 x 45mts,8000000
MZA3-12,superficie: 675.00mt2- 15 x 45mts,8000000
MZA3-13,superficie: 675.00mt2- 15 x 45mts,8000000
MZA3-14,superficie: 675.00mt2- 15 x 45mts,8000000
MZA3-15,superficie: 675.00mt2- 15 x 45mts,10000000
MZA3-16,superficie: 787.50mt2- 15 x 45mts,9000000
MZA4-1,superficie: 675.00mt2- 15 x 45mts,10000000
MZA4-2,superficie: 675.00mt2- 15 x 45mts,8000000
MZA4-3,superficie: 675.00mt2- 15 x 45mts,8000000
MZA4-4,superficie: 675.00mt2- 15 x 45mts,8000000
MZA4-5,superficie: 675.00mt2- 15 x 45mts,8000000
MZA4-6,superficie: 675.00mt2- 15 x 45mts,8000000
MZA4-7,superficie: 675.00mt2- 15 x 45mts,10000000
MZA4-8,superficie: 787.50mt2- 15 x 45mts,9000000
MZA4-9,superficie: 675.00mt2- 15 x 45mts,10000000
MZA4-10,superficie: 675.00mt2- 15 x 45mts,8000000
MZA4-11,superficie: 675.00mt2- 15 x 45mts,8000000
MZA4-12,superficie: 675.00mt2- 15 x 45mts,8000000
MZA4-13,superficie: 675.00mt2- 15 x 45mts,8000000
MZA4-14,superficie: 675.00mt2- 15 x 45mts,8000000
MZA4-15,superficie: 675.00mt2- 15 x 45mts,10000000
MZA4-16,superficie: 787.50mt2- 15 x 45mts,9000000
MZA10-1,superficie: 740.94mt2- 55.65mts x 33.15 x 44.70mts,13000000
MZA10-2,superficie:	740.95mt2- 23.05mts x 46.89mts x 18.51mts x 33.15,13000000
MZA11-1,superficie: 675.00mt2- 15 x 45mts,10000000
MZA11-2,superficie: 675.00mt2- 15 x 45mts,8000000
MZA11-3,superficie: 675.00mt2- 15 x 45mts,8000000
MZA11-4,superficie: 675.00mt2- 15 x 45mts,8000000
MZA11-5,superficie: 675.00mt2- 15 x 45mts,8000000
MZA11-6,superficie: 675.00mt2- 15 x 45mts,8000000
MZA11-7,superficie: 675.00mt2- 15 x 45mts,10000000
MZA11-8,superficie: 787.50mt2- 15 x 52.20mts,14100000
MZA11-9,superficie: 750.92mt2- 16.69mts x 45mts,13500000
MZA11-10,superficie: 750.74mt2- 16.68mts x 45mts x 16.69mts,13500000
MZA11-11,superficie: 750.96mt2- 16.69mts x 45mts,13500000
MZA11-12,superficie: 750.85mt2- 16.69mts x 45mts x 16.68mts,13500000
MZA11-13,superficie: 751.14mt2- 16.69mts x 45mts x 16.70mts,13500000
MZA11-14,superficie: 797.97mt2- 26.85mts x 29.01mts x 45mts x 21.56mts,14300000
MZA11-15,superficie: 787.50mt2- 15 x 52.20mts,14100000
MZA12-1,superficie: 675.00mt2- 15 x 45mts,10000000
MZA12-2,superficie: 675.00mt2- 15 x 45mts,8000000
MZA12-3,superficie: 675.00mt2- 15 x 45mts,8000000
MZA12-4,superficie: 675.00mt2- 15 x 45mts,8000000
MZA12-5,superficie: 675.00mt2- 15 x 45mts,8000000
MZA12-6,superficie: 675.00mt2- 15 x 45mts,8000000
MZA12-7,superficie: 675.00mt2- 15 x 45mts,10000000
MZA12-8,superficie: 787.50mt2- 15 x 45mts,9000000
MZA12-9,superficie: 675.00mt2- 15 x 45mts,10000000
MZA12-10,superficie: 675.00mt2- 15 x 45mts,8000000
MZA12-11,superficie: 675.00mt2- 15 x 45mts,8000000
MZA12-12,superficie: 675.00mt2- 15 x 45mts,8000000
MZA12-13,superficie: 675.00mt2- 15 x 45mts,8000000
MZA12-14,superficie: 675.00mt2- 15 x 45mts,8000000
MZA12-15,superficie: 675.00mt2- 15 x 45mts,10000000
MZA12-16,superficie: 787.50mt2- 15 x 45mts,9000000
MZA13-1,superficie: 675.00mt2- 15 x 45mts,10000000
MZA13-2,superficie: 675.00mt2- 15 x 45mts,8000000
MZA13-3,superficie: 675.00mt2- 15 x 45mts,8000000
MZA13-4,superficie: 675.00mt2- 15 x 45mts,8000000
MZA13-5,superficie: 675.00mt2- 15 x 45mts,8000000
MZA13-6,superficie: 675.00mt2- 15 x 45mts,8000000
MZA13-7,superficie: 675.00mt2- 15 x 45mts,10000000
MZA13-8,superficie: 787.50mt2- 15 x 45mts,9000000
MZA13-9,superficie: 675.00mt2- 15 x 45mts,10000000
MZA13-10,superficie: 675.00mt2- 15 x 45mts,8000000
MZA13-11,superficie: 675.00mt2- 15 x 45mts,8000000
MZA13-12,superficie: 675.00mt2- 15 x 45mts,8000000
MZA13-13,superficie: 675.00mt2- 15 x 45mts,8000000
MZA13-14,superficie: 675.00mt2- 15 x 45mts,8000000
MZA13-15,superficie: 675.00mt2- 15 x 45mts,10000000
MZA13-16,superficie: 787.50mt2- 15 x 45mts,9000000
MZA14-1,superficie: 675.00mt2- 15 x 45mts,10000000
MZA14-2,superficie: 675.00mt2- 15 x 45mts,8000000
MZA14-3,superficie: 675.00mt2- 15 x 45mts,8000000
MZA14-4,superficie: 675.00mt2- 15 x 45mts,8000000
MZA14-5,superficie: 675.00mt2- 15 x 45mts,8000000
MZA14-6,superficie: 675.00mt2- 15 x 45mts,8000000
MZA14-7,superficie: 675.00mt2- 15 x 45mts,10000000
MZA14-8,superficie: 787.50mt2- 15 x 45mts,9000000
MZA14-9,superficie: 675.00mt2- 15 x 45mts,10000000
MZA14-10,superficie: 675.00mt2- 15 x 45mts,8000000
MZA14-11,superficie: 675.00mt2- 15 x 45mts,8000000
MZA14-12,superficie: 675.00mt2- 15 x 45mts,8000000
MZA14-13,superficie: 675.00mt2- 15 x 45mts,8000000
MZA14-14,superficie: 675.00mt2- 15 x 45mts,8000000
MZA14-15,superficie: 675.00mt2- 15 x 45mts,10000000
MZA14-16,superficie: 787.50mt2- 15 x 45mts,9000000
MZA20-1,superficie: 675.00mt2- 15 x 45mts,10000000
MZA20-2,superficie: 675.00mt2- 15 x 45mts,8000000
MZA20-3,superficie: 675.00mt2- 15 x 45mts,8000000
MZA20-4,superficie: 675.00mt2- 15 x 45mts,8000000
MZA20-5,superficie: 675.00mt2- 15 x 45mts,8000000
MZA20-6,superficie: 779.00mt2- 15 x 45mts,13800000
MZA20-7,superficie: 668.00mt2- 15 x 45mts,12000000
MZA20-8,superficie: 668.50mt2- 15 x 45mts,12000000
MZA20-9,superficie: 675.00mt2- 15 x 45mts,10000000
MZA20-10,superficie: 675.00mt2- 15 x 45mts,8000000
MZA20-11,superficie: 670.85mt2- 15 x 41.65mts,8000000
MZA20-12,superficie: 779.27mt2- 18.68mts x 57.51mts x 15.00mts x 46.39mts,8000000
MZA20-13,superficie: 668.25mt2- 20.68mts x 46.39mts x 34.07mts x 16.61mts,8000000
MZA20-14,superficie: 668.24mt2- 35.35mts x 34.07mts x 13.01mts x 28.39mts,8000000
MZA21-1,superficie: 675.00mt2- 15 x 45mts,10000000
MZA21-2,superficie: 675.00mt2- 15 x 45mts,8000000
MZA21-3,superficie: 675.00mt2- 15 x 45mts,8000000
MZA21-4,superficie: 675.00mt2- 15 x 45mts,8000000
MZA21-5,superficie: 675.00mt2- 15 x 45mts,8000000
MZA21-6,superficie: 675.00mt2- 15 x 45mts,8000000
MZA21-7,superficie: 675.00mt2- 15 x 45mts,10000000
MZA21-8,superficie: 787.50mt2- 15 x 45mts,9000000
MZA21-9,superficie: 675.00mt2- 15 x 45mts,10000000
MZA21-10,superficie: 675.00mt2- 15 x 45mts,8000000
MZA21-11,superficie: 675.00mt2- 15 x 45mts,8000000
MZA21-12,superficie: 675.00mt2- 15 x 45mts,8000000
MZA21-13,superficie: 675.00mt2- 15 x 45mts,8000000
MZA21-14,superficie: 675.00mt2- 15 x 45mts,8000000
MZA21-15,superficie: 675.00mt2- 15 x 45mts,10000000
MZA21-16,superficie: 787.50mt2- 15 x 45mts,9000000
MZA22-1,superficie: 675.00mt2- 15 x 45mts,10000000
MZA22-2,superficie: 675.00mt2- 15 x 45mts,8000000
MZA22-3,superficie: 675.00mt2- 15 x 45mts,8000000
MZA22-4,superficie: 675.00mt2- 15 x 45mts,8000000
MZA22-5,superficie: 675.00mt2- 15 x 45mts,8000000
MZA22-6,superficie: 675.00mt2- 15 x 45mts,8000000
MZA22-7,superficie: 675.00mt2- 15 x 45mts,10000000
MZA22-8,superficie: 787.50mt2- 15 x 45mts,9000000
MZA22-9,superficie: 675.00mt2- 15 x 45mts,10000000
MZA22-10,superficie: 675.00mt2- 15 x 45mts,8000000
MZA22-11,superficie: 675.00mt2- 15 x 45mts,8000000
MZA22-12,superficie: 675.00mt2- 15 x 45mts,8000000
MZA22-13,superficie: 675.00mt2- 15 x 45mts,8000000
MZA22-14,superficie: 675.00mt2- 15 x 45mts,8000000
MZA22-15,superficie: 675.00mt2- 15 x 45mts,10000000
MZA22-16,superficie: 787.50mt2- 15 x 45mts,9000000
MZA23-1,superficie: 675.00mt2- 15 x 45mts,10000000
MZA23-2,superficie: 675.00mt2- 15 x 45mts,8000000
MZA23-3,superficie: 675.00mt2- 15 x 45mts,8000000
MZA23-4,superficie: 675.00mt2- 15 x 45mts,8000000
MZA23-5,superficie: 675.00mt2- 15 x 45mts,8000000
MZA23-6,superficie: 675.00mt2- 15 x 45mts,8000000
MZA23-7,superficie: 675.00mt2- 15 x 45mts,10000000
MZA23-8,superficie: 787.50mt2- 15 x 45mts,9000000
MZA23-9,superficie: 675.00mt2- 15 x 45mts,10000000
MZA23-10,superficie: 675.00mt2- 15 x 45mts,8000000
MZA23-11,superficie: 675.00mt2- 15 x 45mts,8000000
MZA23-12,superficie: 675.00mt2- 15 x 45mts,8000000
MZA23-13,superficie: 675.00mt2- 15 x 45mts,8000000
MZA23-14,superficie: 675.00mt2- 15 x 45mts,8000000
MZA23-15,superficie: 675.00mt2- 15 x 45mts,10000000
MZA23-16,superficie: 787.50mt2- 15 x 45mts,9000000
MZA24-1,superficie: 675.00mt2- 15 x 45mts,10000000
MZA24-2,superficie: 675.00mt2- 15 x 45mts,8000000
MZA24-3,superficie: 675.00mt2- 15 x 45mts,8000000
MZA24-4,superficie: 675.00mt2- 15 x 45mts,8000000
MZA24-5,superficie: 675.00mt2- 15 x 45mts,8000000
MZA24-6,superficie: 675.00mt2- 15 x 45mts,8000000
MZA24-7,superficie: 675.00mt2- 15 x 45mts,10000000
MZA24-8,superficie: 787.50mt2- 15 x 45mts,9000000
MZA24-9,superficie: 675.00mt2- 15 x 45mts,10000000
MZA24-10,superficie: 675.00mt2- 15 x 45mts,8000000
MZA24-11,superficie: 675.00mt2- 15 x 45mts,8000000
MZA24-12,superficie: 675.00mt2- 15 x 45mts,8000000
MZA24-13,superficie: 675.00mt2- 15 x 45mts,8000000
MZA24-14,superficie: 675.00mt2- 15 x 45mts,8000000
MZA24-15,superficie: 675.00mt2- 15 x 45mts,10000000
MZA24-16,superficie: 787.50mt2- 15 x 45mts,9000000
MZA30-1,superficie: 983.34.00mt2- 27.02 x 33.18 x 46.78 x 26.65mts,17400000
MZA30-2,superficie: 983.39mt2- 22.85 x 33.18 x 60.39 x 18.35mts,17400000
MZA30-3,superficie: 675.00mt2- 15 x 45mts,8000000
MZA30-4,superficie: 675.00mt2- 15 x 45mts,8000000
MZA30-5,superficie: 675.00mt2- 15 x 45mts,8000000
MZA30-6,superficie: 675.00mt2- 15 x 45mts,8000000
MZA30-7,superficie: 1129.06mt2- 43.73 x 27.13 x 59.90  x 21.79mts,19500000
MZA30-8,superficie: 1129.65mt2- 15.39 x 47.57 x 43.73 x 38.21mts,19500000
MZA31-1,superficie: 675.00mt2- 15 x 45mts,10000000
MZA31-2,superficie: 675.00mt2- 15 x 45mts,8000000
MZA31-3,superficie: 675.00mt2- 15 x 45mts,8000000
MZA31-4,superficie: 675.00mt2- 15 x 45mts,8000000
MZA31-5,superficie: 675.00mt2- 15 x 45mts,8000000
MZA31-6,superficie: 675.00mt2- 15 x 45mts,8000000
MZA31-7,superficie: 675.00mt2- 15 x 45mts,10000000
MZA31-8,superficie: 787.50mt2- 15 x 45mts,9000000
MZA31-9,superficie: 675.00mt2- 15 x 45mts,10000000
MZA31-10,superficie: 675.00mt2- 15 x 45mts,8000000
MZA31-11,superficie: 675.00mt2- 15 x 45mts,8000000
MZA31-12,superficie: 675.00mt2- 15 x 45mts,8000000
MZA31-13,superficie: 675.00mt2- 15 x 45mts,8000000
MZA31-14,superficie: 675.00mt2- 15 x 45mts,8000000
MZA31-15,superficie: 675.00mt2- 15 x 45mts,10000000
MZA31-16,superficie: 787.50mt2- 15 x 45mts,9000000
MZA32-1,superficie: 675.00mt2- 15 x 45mts,10000000
MZA32-2,superficie: 675.00mt2- 15 x 45mts,8000000
MZA32-3,superficie: 675.00mt2- 15 x 45mts,8000000
MZA32-4,superficie: 675.00mt2- 15 x 45mts,8000000
MZA32-5,superficie: 675.00mt2- 15 x 45mts,8000000
MZA32-6,superficie: 675.00mt2- 15 x 45mts,8000000
MZA32-7,superficie: 675.00mt2- 15 x 45mts,10000000
MZA32-8,superficie: 787.50mt2- 15 x 45mts,9000000
MZA32-9,superficie: 675.00mt2- 15 x 45mts,10000000
MZA32-10,superficie: 675.00mt2- 15 x 45mts,8000000
MZA32-11,superficie: 675.00mt2- 15 x 45mts,8000000
MZA32-12,superficie: 675.00mt2- 15 x 45mts,8000000
MZA32-13,superficie: 675.00mt2- 15 x 45mts,8000000
MZA32-14,superficie: 675.00mt2- 15 x 45mts,8000000
MZA32-15,superficie: 675.00mt2- 15 x 45mts,10000000
MZA32-16,superficie: 787.50mt2- 15 x 45mts,9000000
MZA33-1,superficie: 675.00mt2- 15 x 45mts,10000000
MZA33-2,superficie: 675.00mt2- 15 x 45mts,8000000
MZA33-3,superficie: 675.00mt2- 15 x 45mts,8000000
MZA33-4,superficie: 675.00mt2- 15 x 45mts,8000000
MZA33-5,superficie: 675.00mt2- 15 x 45mts,8000000
MZA33-6,superficie: 675.00mt2- 15 x 45mts,8000000
MZA33-7,superficie: 675.00mt2- 15 x 45mts,10000000
MZA33-8,superficie: 787.50mt2- 15 x 45mts,9000000
MZA33-9,superficie: 675.00mt2- 15 x 45mts,10000000
MZA33-10,superficie: 675.00mt2- 15 x 45mts,8000000
MZA33-11,superficie: 675.00mt2- 15 x 45mts,8000000
MZA33-12,superficie: 675.00mt2- 15 x 45mts,8000000
MZA33-13,superficie: 675.00mt2- 15 x 45mts,8000000
MZA33-14,superficie: 675.00mt2- 15 x 45mts,8000000
MZA33-15,superficie: 675.00mt2- 15 x 45mts,10000000
MZA33-16,superficie: 787.50mt2- 15 x 45mts,9000000
MZA34-1,superficie: 675.00mt2- 15 x 45mts,10000000
MZA34-2,superficie: 675.00mt2- 15 x 45mts,8000000
MZA34-3,superficie: 675.00mt2- 15 x 45mts,8000000
MZA34-4,superficie: 675.00mt2- 15 x 45mts,8000000
MZA34-5,superficie: 675.00mt2- 15 x 45mts,8000000
MZA34-6,superficie: 675.00mt2- 15 x 45mts,8000000
MZA34-7,superficie: 675.00mt2- 15 x 45mts,10000000
MZA34-8,superficie: 787.50mt2- 15 x 45mts,9000000
MZA34-9,superficie: 675.00mt2- 15 x 45mts,10000000
MZA34-10,superficie: 675.00mt2- 15 x 45mts,8000000
MZA34-11,superficie: 675.00mt2- 15 x 45mts,8000000
MZA34-12,superficie: 675.00mt2- 15 x 45mts,8000000
MZA34-13,superficie: 675.00mt2- 15 x 45mts,8000000
MZA34-14,superficie: 675.00mt2- 15 x 45mts,8000000
MZA34-15,superficie: 675.00mt2- 15 x 45mts,10000000
MZA34-16,superficie: 787.50mt2- 15 x 45mts,9000000
MZA35-1,superficie: 675.00mt2- 15 x 45mts,10000000
MZA35-2,superficie: 675.00mt2- 15 x 45mts,8000000
MZA35-3,superficie: 675.00mt2- 15 x 45mts,8000000
MZA35-4,superficie: 675.00mt2- 15 x 45mts,8000000
MZA35-5,superficie: 675.00mt2- 15 x 45mts,8000000
MZA35-6,superficie: 675.00mt2- 15 x 45mts,8000000
MZA35-7,superficie: 675.00mt2- 15 x 45mts,10000000
MZA35-8,superficie: 787.50mt2- 15 x 45mts,9000000
MZA35-9,superficie: 675.00mt2- 15 x 45mts,10000000
MZA35-10,superficie: 675.00mt2- 15 x 45mts,8000000
MZA35-11,superficie: 675.00mt2- 15 x 45mts,8000000
MZA35-12,superficie: 675.00mt2- 15 x 45mts,8000000
MZA35-13,superficie: 675.00mt2- 15 x 45mts,8000000
MZA35-14,superficie: 675.00mt2- 15 x 45mts,8000000
MZA35-15,superficie: 675.00mt2- 15 x 45mts,10000000
MZA35-16,superficie: 787.50mt2- 15 x 45mts,9000000
MZA39-1,superficie: 789.32mt2- 46.24 x 34.14 x 57.31mts,140000000
MZA39-2,superficie: 789.33mt2- 23.74 x 48.29 x 19.15 x 34.14mts,14000000
MZA39-3,superficie: 724.33mt2- 16.10 x 45mts,8000000
MZA39-4,superficie: 724.33.00mt2- 16.10 x 45mts,8000000
MZA39-5,superficie: 724.33mt2- 16.10 x 45mts,8000000
MZA39-6,superficie: 747.55mt2- 45 x 33.22 x 55.78mts,13200000
MZA40-1,superficie: 747.88mt2- 16.64 x 45mts,11000000
MZA40-2,superficie: 747.88mt2- 16.64 x 45mts,9000000
MZA40-3,superficie: 747.88mt2- 16.64 x 45mts,9000000
MZA40-4,superficie: 747.88mt2- 16.64 x 45mts,9000000
MZA40-5,superficie: 747.88mt2- 16.64 x 45mts,9000000
MZA40-6,superficie: 747.88mt2- 16.64 x 45mts,9000000
MZA40-7,superficie: 747.88mt2- 16.64 x 45mts,11000000
MZA40-8,superficie: 871.17mt2- 15.58 x 58.06mts,10000000
MZA40-9,superficie: 745.56mt2- 16.55x 45mts,11000000
MZA40-10,superficie:745.59mt2- 16.55 x 45mts,9000000
MZA40-11,superficie:745.59mt2- 16.55 x 45mts,9000000
MZA40-12,superficie:745.59mt2- 16.55 x 45mts,9000000
MZA40-13,superficie:745.58mt2- 16.55 x 45mts,9000000
MZA40-14,superficie:745.58mt2- 16.55 x 45mts,9000000
MZA40-15,superficie:745.58mt2- 16.55 x 45mts,11000000
MZA40-16,superficie: 871.17mt2- 15.58 x 58.06mts,10000000
MZA41-1,superficie: 752.51mt2- 16.74 x 45mts,11000000
MZA41-2,superficie: 752.51mt2- 16.74 x 45mts,9000000
MZA41-3,superficie: 752.51mt2- 16.74 x 45mts,9000000
MZA41-4,superficie: 752.51mt2- 16.74 x 45mts,9000000
MZA41-5,superficie: 752.51mt2- 16.74 x 45mts,9000000
MZA41-6,superficie: 752.51mt2- 16.74 x 45mts,9000000
MZA41-7,superficie: 752.51mt2- 16.74 x 45mts,11000000
MZA41-8,superficie: 876.56mt2- 15 x 58.46mts,10000000
MZA41-9,superficie: 750.20mt2- 16.69 x 45mts,11000000
MZA41-10,superficie:750.20mt2- 16.69 x 45mts,9000000
MZA41-11,superficie:750.20mt2- 16.69 x 45mts,9000000
MZA41-12,superficie:750.20mt2- 16.69 x 45mts,9000000
MZA41-13,superficie:750.20mt2- 16.69 x 45mts,9000000
MZA41-14,superficie:750.20mt2- 16.69 x 45mts,9000000
MZA41-15,superficie:750.20mt2- 15 x 45mts,11000000
MZA41-16,superficie: 876.56mt2- 15 x 58.46mts,10000000
MZA42-1,superficie: 757.15mt2- 16.84 x 45mts,11000000
MZA42-2,superficie: 757.15mt2- 16.84 x 45mts,9000000
MZA42-3,superficie: 757.15mt2- 16.84 x 45mts,9000000
MZA42-4,superficie: 757.15mt2- 16.84 x 45mts,9000000
MZA42-5,superficie: 757.15mt2- 16.84 x 45mts,9000000
MZA42-6,superficie: 757.15mt2- 16.84 x 45mts,9000000
MZA42-7,superficie: 757.15mt2- 16.84 x 45mts,11000000
MZA42-8,superficie: 881.95mt2- 15 x 58.82mts,10000000
MZA42-9,superficie: 754.84mt2- 16.79 x 45mts,11000000
MZA42-10,superficie:754.84mt2- 16.79 x 45mts,9000000
MZA42-11,superficie:754.84mt2- 16.79 x 45mts,9000000
MZA42-12,superficie:754.84mt2- 16.79 x 45mts,9000000
MZA42-13,superficie:754.84mt2- 16.79 x 45mts,9000000
MZA42-14,superficie:754.84mt2- 16.79 x 45mts,9000000
MZA42-15,superficie:754.84mt2- 16.79 x 45mts,11000000
MZA42-16,superficie:881.95mt2- 15 x 58.82,10000000
MZA43-1,superficie: 761.67mt2- 16.95 x 45mts,11000000
MZA43-2,superficie: 761.67mt2- 16.95 x 45mts,9000000
MZA43-3,superficie: 761.67mt2- 16.95 x 45mts,9000000
MZA43-4,superficie: 761.67mt2- 16.95 x 45mts,9000000
MZA43-5,superficie: 761.67mt2- 16.95 x 45mts,9000000
MZA43-6,superficie: 761.67mt2- 16.95 x 45mts,9000000
MZA43-7,superficie: 761.67mt2- 16.95 x 45mts,11000000
MZA43-8,superficie: 887.35mt2- 15 x 59.18mts,10000000
MZA43-9,superficie: 759.45mt2- 16.90 x 45mts,11000000
MZA43-10,superficie:759.45mt2- 16.90  x 45mts,9000000
MZA43-11,superficie:759.45mt2- 16.90  x 45mts,9000000
MZA43-12,superficie:759.45mt2- 16.90  x 45mts,9000000
MZA43-13,superficie:759.45mt2- 16.90  x 45mts,9000000
MZA43-14,superficie:759.45mt2- 16.90  x 45mts,9000000
MZA43-15,superficie:759.45mt2- 16.90  x 45mts,11000000
MZA43-16,superficie: 887.35mt2- 15 x 59.18mts,10000000
MZA44-1,superficie: 766.38mt2- 17.05 x 45mts,11000000
MZA44-2,superficie: 766.38mt2- 17.05 x 45mts,9000000
MZA44-3,superficie: 766.38mt2- 17.05 x 45mts,9000000
MZA44-4,superficie: 766.38mt2- 17.05 x 45mts,9000000
MZA44-5,superficie: 766.38mt2- 17.05 x 45mts,9000000
MZA44-6,superficie: 766.38mt2- 17.05 x 45mts,9000000
MZA44-7,superficie: 766.38mt2- 17.05 x 45mts,11000000
MZA44-8,superficie: 893.73mt2- 15 x 59.54mts,10000000
MZA44-9,superficie: 764.08mt2- 17 x 45mts,11000000
MZA44-10,superficie:764.08mt2- 17 x 45mts,9000000
MZA44-11,superficie:764.08mt2- 17 x 45mts,9000000
MZA44-12,superficie:764.08mt2- 17 x 45mts,9000000
MZA44-13,superficie:764.08mt2- 17 x 45mts,9000000
MZA44-14,superficie:764.08mt2- 17 x 45mts,9000000
MZA44-15,superficie:764.08mt2- 17 x 45mts,11000000
MZA44-16,superficie: 893.73mt2- 15 x 59.54mts,10000000
MZA45-1,superficie: 771.01mt2- 17.15 x 45mts,11000000
MZA45-2,superficie: 771.01mt2- 17.15 x 45mts,9000000
MZA45-3,superficie: 771.01mt2- 17.15 x 45mts,9000000
MZA45-4,superficie: 771.01mt2- 17.15 x 45mts,9000000
MZA45-5,superficie: 771.01mt2- 17.15 x 45mts,9000000
MZA45-6,superficie: 771.01mt2- 17.15 x 45mts,9000000
MZA45-7,superficie: 771.01mt2- 17.15 x 45mts,11000000
MZA45-8,superficie: 898.14mt2- 15 x 59.90mts,10000000
MZA45-9,superficie: 768.69mt2- 17.10 x 45mts,11000000
MZA45-10,superficie:768.69mt2- 17.10 x 45mts,9000000
MZA45-11,superficie:768.69mt2- 17.10 x 45mts,9000000
MZA45-12,superficie:768.69mt2- 17.10 x 45mts,9000000
MZA45-13,superficie:768.69mt2- 17.10 x 45mts,9000000
MZA45-14,superficie:768.69mt2- 17.10 x 45mts,9000000
MZA45-15,superficie:768.69mt2- 17.10 x 45mts,11000000
MZA45-16,superficie: 898.14mt2- 15 x 59.90mts,10000000